Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
0.85,0.025,1.9871028,0.0005906331442706976,3.9730901999999995e-05,1.987063069098,0.0005906402627357796
0.9,0.025,2.0864700999999997,0.0005921961855857065,4.030235999999999e-05,2.0864297976399997,0.000592206126731341
0.95,0.025,2.1869878999999997,0.0005530711125665212,4.1582556000000004e-05,2.186946317444,0.0005530778729844598
1.0,0.025,2.2879721999999996,0.0006213692407363882,4.2773754e-05,2.2879294262459995,0.0006213728678279801
1.05,0.025,2.3895529,0.0006412310122811911,4.3521217999999995e-05,2.389509378782,0.000641233362872696
1.1,0.025,2.4914774,0.0006390515889451194,4.3984563999999994e-05,2.491433415436,0.0006390532778646374
1.15,0.025,2.5935753999999998,0.0006161899418560048,4.490192e-05,2.59353049808,0.0006161912040993496
1.2,0.025,2.6957106,0.0006804051407474631,4.58509e-05,2.6956647491,0.000680407272778814
1.25,0.025,2.7979939000000003,0.0006412784886459399,4.637479e-05,2.79794752521,0.0006412796902294755
1.3,0.025,2.899972600000001,0.0006496871383810708,4.6926893999999996e-05,2.899925673106001,0.0006496884726219459
1.35,0.025,3.0015738,0.0007627237449503468,4.7473593999999996e-05,3.001526326406,0.0007627256189043691
1.4,0.025,3.1027433,0.0007014673588668938,4.8180372e-05,3.102695119628,0.0007014713781725027
1.45,0.025,3.2034310000000006,0.0007161574935414804,4.9622833999999995e-05,3.2033813771660005,0.0007161587566994984
1.5,0.025,3.3034854000000005,0.0008020749757140591,5.0816510000000005e-05,3.3034345834900005,0.0008020753372549369
1.55,0.025,3.4029696,0.0007543851359441321,5.193246e-05,3.40291766754,0.0007543858481278587
1.6,0.025,3.5015712999999997,0.0007497998325479785,5.3098626000000005e-05,3.5015182013739996,0.0007498014214301527
1.65,0.025,3.5994427,0.0007481841796420632,5.3736254e-05,3.599388963746,0.0007481852696181321
1.7,0.025,3.6966431999999996,0.0008230830658768897,5.4323176e-05,3.6965888768239994,0.0008230840462791312
1.75,0.025,3.793064,0.0008034634749355907,5.5006158e-05,3.793008993842,0.0008034643430133503
1.8,0.025,3.888678,0.0008676911893064086,5.5413384e-05,3.888622586616,0.0008676918281508891
1.85,0.025,3.9835994,0.0008569374669263808,5.5961050000000005e-05,3.98354343895,0.0008569383658568797
1.9,0.025,4.0777735999999996,0.0008768742719962073,5.6776906000000005e-05,4.077716823094,0.0008768765376719088
1.95,0.025,4.171276000000001,0.0008563938605831429,5.771484e-05,4.171218285160001,0.0008563960223411713
2.0,0.025,4.264260999999999,0.0009036190200152849,5.8783983999999994e-05,4.264202216016,0.0009036202003758903
2.05,0.025,4.3568119,0.0009315050485936764,5.9344184e-05,4.3567525558160005,0.0009315061226995031
2.1,0.025,4.448712899999999,0.0008544270920070259,5.9815089999999995e-05,4.448653084909999,0.0008544280071383415
2.15,0.025,4.540184399999999,0.0009737184397967597,6.0173506000000006e-05,4.540124226493999,0.0009737193330416215
2.2,0.025,4.631016799999999,0.0009176030126851151,6.1212238e-05,4.630955587761999,0.0009176037104701523
2.25,0.025,4.7213422,0.0009829063253660106,6.2496082e-05,4.7212797039179994,0.0009829068657112843
2.3,0.025,4.811149599999999,0.0009391348500969152,6.316612799999999e-05,4.811086433871999,0.0009391357320090184
2.35,0.025,4.900257,0.0010270104402800746,6.3770932e-05,4.900193229068,0.0010270116315436457
2.4,0.025,4.9886067,0.0009986941529374087,6.451274e-05,4.98854218726,0.0009986957931362801
2.45,0.025,5.0760234,0.001068199440387574,6.5491358e-05,5.075957908642001,0.0010682005527531976
2.5,0.025,5.1625625,0.0010931645448979666,6.6104282e-05,5.162496395718,0.0010931658173867105
2.55,0.025,5.247998000000001,0.0010638667418639283,6.6876766e-05,5.247931123234001,0.0010638680658412011
2.6,0.025,5.3324655,0.001048274375660583,6.784461800000001e-05,5.332397655382,0.0010482752656205113
2.65,0.025,5.4158629,0.0011658585248647117,6.8788952e-05,5.415794111047999,0.0011658592711920514
2.7,0.025,5.4982099,0.0010647235895868343,6.9867372e-05,5.498140032628,0.0010647244715880696
2.75,0.025,5.579612300000001,0.0011332473545818788,7.032506400000002e-05,5.579541974936001,0.0011332482005360696
2.8,0.025,5.6598881,0.0011654372045621557,7.0842834e-05,5.659817257166,0.0011654379688680573
2.85,0.025,5.739177199999999,0.0011531573854228231,7.209997800000001e-05,5.739105100021999,0.0011531600707664904
2.9,0.025,5.8175091,0.001146264604899072,7.2909224e-05,5.817436190775999,0.001146266957248396
2.95,0.025,5.8949889,0.0011832300846976436,7.344392e-05,5.894915456080001,0.0011832317705646265
3.0,0.025,5.971557600000001,0.0011703386214634308,7.415485e-05,5.9714834451500005,0.0011703405545784172
3.05,0.025,6.0473293,0.0011855179880540317,7.487929200000001e-05,6.047254420708001,0.00118551982947133
3.1,0.025,6.122422800000001,0.0012405675045452382,7.5922922e-05,6.122346877078001,0.0012405687468284394
3.15,0.025,6.1968338,0.0011759993197276847,7.6126142e-05,6.196757673858,0.001176000658829997
3.2,0.025,6.270678600000001,0.0011769338884483,7.641517e-05,6.270602184830001,0.0011769358770057138
3.25,0.025,6.3439239,0.001226798584392146,7.7223422e-05,6.343846676578,0.0012268006883199437
3.3,0.025,6.4167753,0.0011747611624873249,7.8308746e-05,6.416696991254001,0.0011747632647717806
3.35,0.025,6.489149500000001,0.001168247143753821,7.905500399999999e-05,6.489070444996001,0.0011682493461652687
3.4,0.025,6.561066800000001,0.0012271962443807126,7.9742394e-05,6.560987057606001,0.0012271980355325384
3.45,0.025,6.632550400000001,0.0013193200437260735,8.070168200000001e-05,6.632469698318001,0.0013193213204223382
3.5,0.025,6.703462399999999,0.0013106670227194279,8.170755e-05,6.70338069245,0.0013106682483177538
3.55,0.025,6.774042599999999,0.0012846115020157792,8.2376588e-05,6.773960223411999,0.0012846129662934336
3.6,0.025,6.844244999999999,0.0013142073234040628,8.3139252e-05,6.844161860747999,0.0013142087797490577
3.65,0.025,6.9136877,0.001354831850985367,8.365775000000001e-05,6.913604042249999,0.0013548334812252295
3.7,0.025,6.9829737000000005,0.001375085455930356,8.441628600000001e-05,6.982889283714001,0.0013750867163768582
3.75,0.025,7.051670400000001,0.0013983627887242769,8.5224282e-05,7.051585175718,0.001398364197317278
3.8,0.025,7.119720599999999,0.001453880493331018,8.5745234e-05,7.119634854765999,0.0014538815923054197
3.85,0.025,7.187330299999999,0.0013780008103527243,8.6568954e-05,7.187243731045999,0.001378001898575924
3.9,0.025,7.2543614000000005,0.0014124849025742507,8.7440228e-05,7.254273959772001,0.0014124863087851504
3.95,0.025,7.3207927,0.0014264818455049467,8.8032046e-05,7.320704667954,0.0014264829995241583
4.0,0.025,7.386775900000001,0.0013970484323107728,8.879201e-05,7.386687107990001,0.0013970500083706414
4.05,0.025,7.4522064,0.0014022505086070218,8.947278800000001e-05,7.452116927212,0.001402251841878916
4.1,0.025,7.5169815,0.0014730805401532618,9.0137904e-05,7.516891362096,0.0014730816732595104
4.15,0.025,7.580911899999999,0.0014367738127099756,9.105989e-05,7.5808208401099995,0.0014367751319036947
