Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
0.95,0.025,0.40903650999999996,0.00021596371840349618,4.1582556000000004e-05,0.40899492744399996,0.0002159810308710218
1.0,0.025,0.42479659999999997,0.0002276070590586703,4.2773754e-05,0.42475382624599994,0.00022761696086361834
1.05,0.025,0.44021216999999996,0.00023955020837672668,4.3521217999999995e-05,0.44016864878199996,0.00023955650039854645
1.1,0.025,0.4552510999999999,0.00024646476421589337,4.3984563999999994e-05,0.4552071154359999,0.00024646914333492447
1.15,0.025,0.46988266999999995,0.0002567382110243873,4.490192e-05,0.46983776807999994,0.00025674124048329766
1.2,0.025,0.48406665000000004,0.0002682125618484841,4.58509e-05,0.48402079910000007,0.0002682179703674891
1.25,0.025,0.49779704999999996,0.00027383130755997476,4.637479e-05,0.49775067520999994,0.00027383412150569665
1.3,0.025,0.51109437,0.000283520981195009,4.6926893999999996e-05,0.511047443106,0.0002835240385890284
1.35,0.025,0.52397973,0.00028995496604359655,4.7473593999999996e-05,0.5239322564059999,0.0002899598954257542
1.4,0.025,0.5364663299999999,0.00030173663295440616,4.8180372e-05,0.5364181496279998,0.00030174597678543576
1.45,0.025,0.54855941,0.0003093076118975705,4.9622833999999995e-05,0.548509787166,0.00030931053654787436
1.5,0.025,0.5602525600000001,0.00031633059429794406,5.0816510000000005e-05,0.5602017434900001,0.00031633151100515235
1.55,0.025,0.5715785999999999,0.00032649082342046964,5.193246e-05,0.5715266675399999,0.00032649246897886974
1.6,0.025,0.5825310599999999,0.0003342341335052482,5.3098626000000005e-05,0.5824779613739999,0.0003342376978883516
1.65,0.025,0.59312887,0.000342421517528719,5.3736254e-05,0.5930751337460001,0.0003424238990981218
1.7,0.025,0.60338017,0.00034673077948812667,5.4323176e-05,0.603325846824,0.0003467331067988326
1.75,0.025,0.61327909,0.000350285059947213,5.5006158e-05,0.613224083842,0.0003502870510888501
1.8,0.025,0.62286169,0.0003591461647667551,5.5413384e-05,0.6228062766160001,0.00035914770820169725
1.85,0.025,0.63213896,0.0003577784702546812,5.5961050000000005e-05,0.63208299895,0.0003577806233336809
1.9,0.025,0.64112303,0.00036976386473893666,5.6776906000000005e-05,0.641066253094,0.0003697692376297284
1.95,0.025,0.64982341,0.00036386448469481286,5.771484e-05,0.64976569516,0.00036386957259367273
2.0,0.025,0.65825848,0.00036812950559398456,5.8783983999999994e-05,0.6581996960159999,0.0003681324029243442
2.05,0.025,0.6664321,0.00037455072346003284,5.9344184e-05,0.666372755816,0.00037455339474578046
2.1,0.025,0.67436757,0.00037644785694701326,5.9815089999999995e-05,0.6743077549100001,0.0003764499340241862
2.15,0.025,0.68209585,0.0003756278159443211,6.0173506000000006e-05,0.682035676494,0.00037563013144566144
2.2,0.025,0.68961477,0.0003672352683680159,6.1212238e-05,0.689553557762,0.0003672370119052822
