Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-1.75,0.025,-4.73913e-05,9.326093924396574e-07,4.3682306e-06,-5.17595306e-05,1.0538062109790238e-06
-1.7,0.025,-4.6586259e-05,8.69332977216824e-07,4.4991448000000006e-06,-5.10854038e-05,1.0309649311862491e-06
-1.65,0.025,-4.5451899e-05,9.335328018928946e-07,5.136054000000001e-06,-5.0587953e-05,1.1293788125073439e-06
-1.6,0.025,-4.4363387999999997e-05,6.667456723985709e-07,6.796484399999999e-06,-5.1159872399999994e-05,1.0469773531643473e-06
-1.55,0.025,-4.407558899999999e-05,1.4960600846627497e-06,7.3544568e-06,-5.143004579999999e-05,1.5409483293942121e-06
-1.5,0.025,-4.3002994999999994e-05,8.470783491802869e-07,7.9053086e-06,-5.090830359999999e-05,1.1508664824002392e-06
-1.45,0.025,-4.2076239e-05,7.076685953412243e-07,9.332838999999998e-06,-5.1409078e-05,1.1918779637602258e-06
-1.4,0.025,-4.1170484e-05,9.201400985260648e-07,1.0878773399999999e-05,-5.20492574e-05,2.4504602256050506e-06
-1.35,0.025,-3.9836437999999994e-05,6.808262508452497e-07,1.135977e-05,-5.1196208e-05,1.2994436977760903e-06
-1.3,0.025,-3.8549592e-05,9.00119776311279e-07,1.1809133999999998e-05,-5.0358725999999994e-05,9.893965307886759e-07
-1.25,0.025,-3.742037599999999e-05,9.514941438507225e-07,1.2151371999999999e-05,-4.957174799999999e-05,1.4468960167034187e-06
-1.2,0.025,-3.6650026e-05,1.2301632772766386e-06,1.3424699999999999e-05,-5.0074726e-05,1.5808388545515956e-06
-1.15,0.025,-3.5844388999999995e-05,8.860959332744713e-07,1.4068962000000001e-05,-4.9913350999999995e-05,1.7886445032581397e-06
-1.1,0.025,-3.4367693e-05,7.024580467670501e-07,1.5058888000000001e-05,-4.9426581e-05,1.0223973664078852e-06
-1.05,0.025,-3.268127e-05,9.04113817896348e-07,1.6683766e-05,-4.9365036000000004e-05,1.5303082998014187e-06
-1.0,0.025,-3.1311931999999995e-05,7.140119574597862e-07,1.7925718e-05,-4.9237649999999994e-05,2.385335653470086e-06
-0.95,0.025,-2.9763773999999997e-05,8.559333162785266e-07,1.8516536e-05,-4.828031e-05,1.4513925361684742e-06
-0.9,0.025,-2.7577406999999994e-05,1.315212663894238e-06,1.8783502000000003e-05,-4.6360908999999996e-05,1.6187190618318478e-06
-0.85,0.025,-2.5314912e-05,8.512467285602015e-07,1.8880354e-05,-4.4195266e-05,2.1169375332811414e-06
-0.8,0.025,-2.1946989000000005e-05,1.4446778605507718e-06,1.9536872e-05,-4.1483861000000004e-05,2.172204969825719e-06
-0.75,0.025,-1.7400189e-05,1.5246842678290987e-06,2.0455212e-05,-3.7855401e-05,1.889165547890273e-06
-0.7,0.025,-1.06242534e-05,1.8274485597578818e-06,2.1417428e-05,-3.2041681399999996e-05,2.0242953251393824e-06
-0.65,0.025,1.24099756e-06,1.3866986824878705e-06,2.2762591999999996e-05,-2.1521594439999997e-05,2.2060982650334492e-06
-0.6,0.025,2.1860738000000003e-05,2.007589543948995e-06,2.3352684e-05,-1.4919459999999975e-06,2.2215278315167092e-06
-0.55,0.025,6.2840609e-05,2.11099388154516e-06,2.3694182e-05,3.9146426999999996e-05,2.3227765180255937e-06
-0.5,0.025,0.00014606248,3.1400414055302597e-06,2.4603453999999997e-05,0.00012145902600000001,3.305755170868594e-06
-0.45,0.025,0.00030449096,4.76659980517209e-06,2.5547054e-05,0.000278943906,4.8283886303089365e-06
-0.4,0.025,0.0005803351300000001,7.89456725800865e-06,2.6360713999999998e-05,0.0005539744160000001,7.929785024488509e-06
-0.35,0.025,0.0010254813999999999,1.4379989392671118e-05,2.7266552e-05,0.000998214848,1.439673702433485e-05
-0.3,0.025,0.0017170838000000002,2.344874941844211e-05,2.8268489999999998e-05,0.0016888153100000003,2.345246486821245e-05
-0.25,0.025,0.0032332575999999996,4.620135568044638e-05,2.9510202000000003e-05,0.0032037473979999996,4.620756645375067e-05
-0.2,0.025,0.0043316798,5.454235619895186e-05,3.0085094e-05,0.004301594706,5.4544047874735356e-05
-0.15,0.025,0.0063933532,7.725781111720816e-05,3.0771268e-05,0.006362581932,7.725915853874564e-05
-0.1,0.025,0.0091635378,0.00010567663232585191,3.1884022e-05,0.009131653778,0.00010567683286401451
-0.05,0.025,0.012582152,0.00013804603674942022,3.3515506e-05,0.012548636493999999,0.00013806102414028336
0.0,0.025,0.017410338,0.00018203575020064354,3.3646916e-05,0.017376691084,0.00018204353285233239
0.05,0.025,0.021067446,0.0008720480965864213,3.221989e-05,0.02103522611,0.000872048733100464
0.1,0.025,0.02726513099999999,0.00028017586542305046,3.1625634e-05,0.027233505365999992,0.00028017675509672265
0.15,0.025,0.031548027,0.00032675634269283856,3.1684718e-05,0.031516342282,0.0003267569069952594
0.2,0.025,0.03574058199999999,0.0003702853267054117,3.130619e-05,0.035709275809999996,0.00037028965961518
0.25,0.025,0.039881595000000006,0.0004162518458617734,3.1617785999999996e-05,0.03984997721400001,0.00041625727591996516
